================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:53:09.858 --> 00:53:13.250] patient_1
[00:53:13.773 --> 00:53:20.860] patient_1
[00:53:20.894 --> 00:53:31.019] patient_1
[00:53:31.255 --> 00:53:34.293] patient_1
[00:53:35.390 --> 00:53:39.136] patient_1
[00:53:39.136 --> 00:53:40.874] doctor
[00:53:41.178 --> 00:53:41.752] doctor
[00:53:42.089 --> 00:53:46.291] patient_1
[00:53:46.342 --> 00:53:50.493] doctor
[00:53:52.332 --> 00:53:54.205] doctor
[00:54:01.900 --> 00:54:03.335] patient_1
[00:54:03.655 --> 00:54:07.013] patient_1
[00:54:07.942 --> 00:54:15.215] patient_1
[00:54:15.653 --> 00:54:16.008] patient_1
[00:54:17.189 --> 00:54:17.611] patient_1
[00:54:18.370 --> 00:54:23.905] patient_1
[00:54:28.630 --> 00:54:29.187] patient_1
[00:54:32.056 --> 00:54:32.512] patient_1
[00:54:33.963 --> 00:54:38.688] patient_1
[00:54:39.599 --> 00:54:40.207] patient_1
[00:54:41.320 --> 00:54:42.451] patient_1
[00:54:43.109 --> 00:54:43.463] patient_1
[00:54:44.003 --> 00:54:45.843] patient_1
[00:54:45.927 --> 00:54:53.318] patient_1
[00:54:53.588 --> 00:54:54.685] patient_1
[00:54:55.546 --> 00:54:55.934] patient_1
[00:54:56.255 --> 00:54:56.997] patient_1
[00:55:01.347 --> 00:55:05.313] patient_1
[00:55:05.397 --> 00:55:09.903] patient_1
[00:55:06.359 --> 00:55:06.798] doctor
[00:55:36.025 --> 00:55:40.244] patient_1
[00:55:40.649 --> 00:55:56.022] patient_1
[00:55:54.115 --> 00:56:03.025] doctor
[00:55:56.579 --> 00:55:58.553] patient_1
[00:56:03.447 --> 00:56:10.771] doctor
