================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[01:24:08.228 --> 01:24:08.920] patient_3
[01:24:12.683 --> 01:24:13.578] doctor
[01:24:13.055 --> 01:24:14.050] patient_3
[01:24:14.590 --> 01:24:15.198] patient_3
[01:24:16.126 --> 01:24:20.750] patient_2
[01:24:21.492 --> 01:24:21.847] patient_2
[01:24:21.948 --> 01:24:24.158] patient_2
[01:24:24.428 --> 01:24:25.778] patient_2
[01:24:26.740 --> 01:24:30.875] patient_2
[01:24:30.875 --> 01:24:37.642] doctor
[01:24:33.727 --> 01:24:37.473] patient_2
[01:24:37.844 --> 01:24:42.029] doctor
[01:24:42.434 --> 01:24:42.974] doctor
[01:24:43.227 --> 01:24:46.940] patient_2
[01:24:43.362 --> 01:24:43.970] doctor
[01:24:43.970 --> 01:24:52.643] patient_3
[01:24:47.328 --> 01:24:47.969] patient_2
[01:24:53.335 --> 01:24:57.622] patient_3
[01:24:57.757 --> 01:24:59.967] patient_3
[01:24:58.364 --> 01:24:58.887] doctor
[01:25:17.024 --> 01:25:25.867] patient_2
[01:25:18.526 --> 01:25:19.876] doctor
[01:25:25.867 --> 01:25:26.963] patient_1
[01:25:27.301 --> 01:25:28.330] patient_1
[01:26:51.018 --> 01:26:52.823] patient_2
[01:29:57.942 --> 01:29:59.967] patient_2
[01:31:29.384 --> 01:31:30.042] patient_1
[01:31:32.962 --> 01:31:34.362] patient_1
[01:31:36.809 --> 01:31:38.108] patient_1
[01:31:40.100 --> 01:31:44.555] patient_1
[01:31:50.933 --> 01:32:03.607] patient_1
[01:32:07.994 --> 01:32:15.892] patient_1
[01:32:19.604 --> 01:32:22.844] patient_1
[01:32:28.025 --> 01:32:40.023] patient_1
[01:32:44.967 --> 01:32:47.937] patient_1
[01:33:46.021 --> 01:33:48.940] doctor
[01:35:16.973 --> 01:35:17.362] doctor
[01:35:18.492 --> 01:35:19.066] doctor
[01:35:19.285 --> 01:35:20.028] doctor
[01:35:42.067 --> 01:35:42.775] doctor
[01:35:44.750 --> 01:35:46.353] doctor
[01:35:46.825 --> 01:35:47.433] doctor
[01:35:52.073 --> 01:35:54.487] doctor
[01:36:00.410 --> 01:36:01.760] doctor
[01:36:02.165 --> 01:36:05.168] doctor
[01:36:06.080 --> 01:36:06.653] doctor
[01:36:12.560 --> 01:36:12.914] doctor
[01:36:39.712 --> 01:36:41.990] doctor
[01:36:43.205 --> 01:36:43.998] doctor
[01:36:44.183 --> 01:36:44.707] doctor
[01:36:44.960 --> 01:36:46.175] doctor
[01:36:46.512 --> 01:36:48.925] doctor
[01:36:49.128 --> 01:36:50.815] doctor
[01:36:51.102 --> 01:36:57.110] doctor
[01:36:57.768 --> 01:37:00.856] doctor
[01:37:02.273 --> 01:37:03.725] doctor
[01:37:04.973 --> 01:37:14.035] doctor
[01:37:14.710 --> 01:37:19.418] doctor
[01:37:19.942 --> 01:37:36.260] doctor
[01:37:24.734 --> 01:37:25.544] patient_1
[01:37:36.648 --> 01:37:40.023] doctor
[01:37:40.158 --> 01:37:41.744] doctor
[01:37:42.503 --> 01:37:44.444] doctor
[01:37:58.315 --> 01:37:59.598] doctor
[01:37:59.767 --> 01:38:01.302] doctor
[01:40:00.689 --> 01:40:01.313] doctor
[01:40:01.752 --> 01:40:03.811] doctor
[01:40:04.030 --> 01:40:05.026] doctor
[01:40:06.038 --> 01:40:07.220] doctor
[01:40:08.705 --> 01:40:09.464] doctor
[01:40:12.367 --> 01:40:15.995] doctor
[01:40:26.761 --> 01:40:31.368] doctor
[01:40:33.663 --> 01:40:44.581] doctor
[01:40:50.234 --> 01:40:51.263] doctor
[01:40:54.048 --> 01:40:59.701] doctor
[01:42:34.167 --> 01:42:35.585] doctor
[01:42:35.838 --> 01:42:37.508] doctor
[01:42:37.728 --> 01:42:40.748] doctor
[01:42:41.255 --> 01:43:01.167] doctor
[01:43:03.192 --> 01:43:04.053] doctor
[01:43:04.171 --> 01:43:05.875] doctor
[01:43:07.057 --> 01:43:07.782] doctor
[01:43:10.583 --> 01:43:11.208] doctor
[01:43:14.802 --> 01:43:15.443] doctor
[01:43:38.410 --> 01:43:39.423] doctor
[01:43:41.498 --> 01:43:42.258] doctor
[01:43:57.310 --> 01:43:58.795] doctor
[01:43:58.964 --> 01:44:04.313] doctor
[01:44:05.208 --> 01:44:06.440] doctor
[01:44:08.650 --> 01:44:10.034] doctor
[01:44:11.013 --> 01:44:11.873] doctor
[01:44:14.810 --> 01:44:17.594] doctor
[01:44:22.741 --> 01:44:46.130] doctor
[01:44:42.788 --> 01:44:45.067] patient_1
[01:44:46.501 --> 01:44:48.593] doctor
[01:44:46.855 --> 01:44:47.210] patient_1
[01:44:49.387 --> 01:44:53.825] doctor
[01:44:55.040 --> 01:44:57.841] doctor
[01:44:58.094 --> 01:44:58.550] doctor
[01:44:58.685 --> 01:44:59.528] doctor
[01:45:00.031 --> 01:45:02.343] doctor
[01:45:03.203 --> 01:45:12.147] doctor
[01:45:06.292 --> 01:45:07.895] patient_1
[01:45:10.578 --> 01:45:11.168] patient_1
[01:45:12.552 --> 01:45:22.897] doctor
[01:45:15.218 --> 01:45:20.973] patient_1
